1
823,1645,3289,6577,13153,9922,3460,6919,13837,11290,6196,12391,8398,412
827,1653,3305,6609,13217,10050,3716,7431,14861,13338,10292,4200,8399,414
831,1661,3321,6641,13281,10178,3972,7943,15885,15386,14388,12392,8400,416
835,1669,3337,6673,13345,10306,4228,8455,526,1051,2101,4201,8401,418
839,1677,3353,6705,13409,10434,4484,8967,1550,3099,6197,12393,8402,420
843,1685,3369,6737,13473,10562,4740,9479,2574,5147,10293,4202,8403,422
847,1693,3385,6769,13537,10690,4996,9991,3598,7195,14389,12394,8404,424
851,1701,3401,6801,13601,10818,5252,10503,4622,9243,2102,4203,8405,426
855,1709,3417,6833,13665,10946,5508,11015,5646,11291,6198,12395,8406,428
859,1717,3433,6865,13729,11074,5764,11527,6670,13339,10294,4204,8407,430
863,1725,3449,6897,13793,11202,6020,12039,7694,15387,14390,12396,8408,432
867,1733,3465,6929,13857,11330,6276,12551,8718,1052,2103,4205,8409,434
871,1741,3481,6961,13921,11458,6532,13063,9742,3100,6199,12397,8410,436
875,1749,3497,6993,13985,11586,6788,13575,10766,5148,10295,4206,8411,438
879,1757,3513,7025,14049,11714,7044,14087,11790,7196,14391,12398,8412,440
883,1765,3529,7057,14113,11842,7300,14599,12814,9244,2104,4207,8413,442
887,1773,3545,7089,14177,11970,7556,15111,13838,11292,6200,12399,8414,444
891,1781,3561,7121,14241,12098,7812,15623,14862,13340,10296,4208,8415,446
895,1789,3577,7153,14305,12226,8068,16135,15886,15388,14392,12400,8416,448
903,1805,3609,7217,14433,12482,8580,776,1551,3101,6201,12401,8418,452
907,1813,3625,7249,14497,12610,8836,1288,2575,5149,10297,4210,8419,454
911,1821,3641,7281,14561,12738,9092,1800,3599,7197,14393,12402,8420,456
915,1829,3657,7313,14625,12866,9348,2312,4623,9245,2106,4211,8421,458
919,1837,3673,7345,14689,12994,9604,2824,5647,11293,6202,12403,8422,460
923,1845,3689,7377,14753,13122,9860,3336,6671,13341,10298,4212,8423,462
927,1853,3705,7409,14817,13250,10116,3848,7695,15389,14394,12404,8424,464
931,1861,3721,7441,14881,13378,10372,4360,8719,1054,2107,4213,8425,466
935,1869,3737,7473,14945,13506,10628,4872,9743,3102,6203,12405,8426,468
939,1877,3753,7505,15009,13634,10884,5384,10767,5150,10299,4214,8427,470
943,1885,3769,7537,15073,13762,11140,5896,11791,7198,14395,12406,8428,472
947,1893,3785,7569,15137,13890,11396,6408,12815,9246,2108,4215,8429,474
951,1901,3801,7601,15201,14018,11652,6920,13839,11294,6204,12407,8430,476
955,1909,3817,7633,15265,14146,11908,7432,14863,13342,10300,4216,8431,478
959,1917,3833,7665,15329,14274,12164,7944,15887,15390,14396,12408,8432,480
963,1925,3849,7697,15393,14402,12420,8456,528,1055,2109,4217,8433,482
967,1933,3865,7729,15457,14530,12676,8968,1552,3103,6205,12409,8434,484
971,1941,3881,7761,15521,14658,12932,9480,2576,5151,10301,4218,8435,486
975,1949,3897,7793,15585,14786,13188,9992,3600,7199,14397,12410,8436,488
979,1957,3913,7825,15649,14914,13444,10504,4624,9247,2110,4219,8437,490
983,1965,3929,7857,15713,15042,13700,11016,5648,11295,6206,12411,8438,492
987,1973,3945,7889,15777,15170,13956,11528,6672,13343,10302,4220,8439,494
991,1981,3961,7921,15841,15298,14212,12040,7696,15391,14398,12412,8440,496
995,1989,3977,7953,15905,15426,14468,12552,8720,1056,2111,4221,8441,498
999,1997,3993,7985,15969,15554,14724,13064,9744,3104,6207,12413,8442,500
1003,2005,4009,8017,16033,15682,14980,13576,10768,5152,10303,4222,8443,502
1007,2013,4025,8049,16097,15810,15236,14088,11792,7200,14399,12414,8444,504
1011,2021,4041,8081,16161,15938,15492,14600,12816,9248,2112,4223,8445,506
1015,2029,4057,8113,16225,16066,15748,15112,13840,11296,6208,12415,8446,508
1019,2037,4073,8145,16289,16194,16004,15624,14864,13344,10304,4224,8447,510
1023,2045,4089,8177,16353,16322,16260,16136,15888,15392,14400,12416,8448,512
1059,2117,4233,8465,546,1091,2181,4361,8721,1058,2115,4229,8457,530
1063,2125,4249,8497,610,1219,2437,4873,9745,3106,6211,12421,8458,532
1067,2133,4265,8529,674,1347,2693,5385,10769,5154,10307,4230,8459,534
